rank	word	occurrences (ppm)	lemma forms
4001.	enano	16	enano
4002.	devolver	16	devolver
4003.	solitario	16	solitario
4004.	misiles	16	misil
4005.	desnuda	16	desnudo desnudar
4006.	vaquero	16	vaquero
4007.	únicos	16	único
4008.	trasera	16	trasero
4009.	sano	16	sano
4010.	piezas	16	pieza
4011.	liga	16	liga ligar
4012.	gerente	16	gerente
4013.	caridad	16	caridad
4014.	armados	16	armado armar
4015.	trajeron	16	traer
4016.	religión	16	religión
4017.	fotografías	16	fotografía
4018.	sentirse	16	sentir
4019.	rezar	16	rezar
4020.	protege	16	proteger
4021.	preparen	16	preparar
4022.	niñera	16	niñera
4023.	naranja	16	naranja naranjo
4024.	matarnos	16	matar
4025.	jugada	16	jugada jugar
4026.	espérame	16	esperar
4027.	enseñarte	16	enseñar
4028.	cohete	16	cohete
4029.	tanques	16	tanque
4030.	sombras	16	sombra
4031.	moverse	16	mover
4032.	llegara	16	llegar
4033.	cortó	16	cortar
4034.	cierren	16	cerrar
4035.	volverán	16	volver
4036.	usamos	16	usar
4037.	sabremos	16	saber
4038.	maletín	16	maletín
4039.	lenguaje	16	lenguaje
4040.	invitación	16	invitación
4041.	cambian	16	cambiar
4042.	rehenes	16	rehén
4043.	encontremos	16	encontrar
4044.	descubrí	16	descubrir
4045.	audiencia	16	audiencia
4046.	agenda	16	agenda
4047.	sígueme	16	seguir
4048.	sensible	16	sensible
4049.	reverendo	16	reverendo
4050.	queréis	16	querer
4051.	cazar	16	cazar
4052.	bodas	16	boda
4053.	seguiremos	16	seguir
4054.	rosas	16	rosa
4055.	retiro	16	retiro retirar
4056.	primeras	16	primero
4057.	poderosa	16	poderoso
4058.	deberia	16	deber
4059.	cantando	16	cantar
4060.	antiguos	16	antiguo
4061.	teme	16	temer
4062.	síganme	16	seguir
4063.	moviendo	16	mover
4064.	juventud	16	juventud
4065.	equivocas	16	equivocar
4066.	trabajadores	16	trabajador
4067.	seguí	16	seguir
4068.	salvaste	16	salvar
4069.	pulmones	16	pulmón
4070.	payaso	16	payaso
4071.	oírlo	16	oír
4072.	fama	16	fama
4073.	engaño	16	engaño engañar
4074.	distrito	16	distrito
4075.	disculparme	16	disculpar
4076.	ciudadano	16	ciudadano
4077.	robando	16	robar
4078.	equipaje	16	equipaje
4079.	ciencias	16	ciencia
4080.	ubicación	16	ubicación
4081.	federales	16	federal
4082.	tratamos	16	tratar
4083.	ofrece	16	ofrecer
4084.	junio	16	junio
