"id"	"1_Mot"	"4_Lemme"	"5_Cgram"	"7_Genre"	"10_FreqMot"	"12_FreqLemme"
1	de	de	PRE	""	26323.301	34097.073
2	je	je	PRO:per	""	25930.797	35592.509
3	est	être	VER	""	19266.114	35040.212
4	pas	pas	ADV	""	18089.722	18098.642
5	vous	vous	PRO:per	""	14039.193	15872.566
6	tu	tu	PRO:per	""	13851.563	14981.437
7	le	le	ART:def	m	13176.114	43109.440
8	c'	c'	PRO:dem	""	12973.842	18912.297
9	et	et	CON	""	12851.275	12855.440
10	à	à	PRE	""	12764.038	12768.269
11	il	il	PRO:per	m	12534.930	16479.203
12	un	un	ART:ind	m	11973.908	24523.364
13	ne	ne	ADV	""	10469.953	17693.877
14	que	que	CON	""	9744.364	13632.206
15	j'	j'	PRO:per	""	9259.354	35592.509
16	ça	ça	PRO:dem	""	8446.718	8458.785
17	on	on	PRO:per	""	8250.566	8523.301
18	une	une	ART:ind	f	8200.772	24523.364
19	d'	d'	PRE	""	7741.263	34097.073
20	pour	pour	PRE	""	7716.873	7717.560
21	l'	l'	ART:def	""	7646.744	43109.440
22	n'	ne	ADV	""	7190.028	17693.877
23	a	avoir	AUX	""	6777.323	19741.582
24	en	en	PRE	""	5839.000	5839.646
25	ai	avoir	AUX	""	5199.114	19741.582
26	ce	ce	PRO:dem	""	5136.253	18912.297
27	mais	mais	CON	""	5100.756	5101.864
28	qui	qui	PRO:rel	""	5042.016	5044.826
29	a	avoir	VER	m	4843.560	13032.016
30	nous	nous	PRO:per	""	4773.285	5105.804
31	dans	dans	PRE	""	4720.829	4721.560
32	elle	elle	PRO:per	f	4591.655	5183.788
33	me	me	PRO:per	""	4466.684	7999.585
34	bien	bien	ADV	""	4424.320	4425.085
35	du	du	ART:def	m	4123.684	4124.427
36	non	non	ADV	""	4069.383	4070.880
37	y	y	PRO:per	""	4046.437	4548.690
38	t'	t'	PRO:per	""	3877.266	7500.038
39	avec	avec	PRE	""	3838.671	3839.082
40	que	que	PRO:rel	""	3790.478	6013.373
41	plus	plus	ADV	""	3746.611	3747.066
42	mon	mon	ADJ:pos	""	3716.462	6962.576
43	m'	m'	PRO:per	""	3518.051	7999.585
44	te	te	PRO:per	""	3493.949	7500.038
45	au	au	ART:def	m	3422.348	4174.959
46	le	le	PRO:per	m	3362.661	9593.047
47	l'	l'	PRO:per	""	3288.589	9593.047
48	est	être	AUX	""	3264.870	8402.797
49	moi	moi	PRO:per	""	3250.123	5018.310
50	va	aller	VER	m	3137.911	9795.946
51	oui	oui	ADV	""	3111.411	3112.547
52	faire	faire	VER	m	3038.506	9061.728
53	en	en	PRO:per	""	3017.880	3091.585
54	ils	ils	PRO:per	m	2940.297	16479.203
55	sur	sur	PRE	""	2885.345	2885.832
56	si	si	ADV	""	2881.589	2881.975
57	ce	ce	ADJ:dem	m	2837.642	6521.715
58	fait	faire	VER	""	2781.813	9061.728
59	était	être	VER	""	2741.959	35040.212
60	sais	savoir	VER	""	2731.453	4973.842
61	se	se	PRO:per	""	2685.443	5002.028
62	suis	être	VER	""	2648.307	35040.212
63	ai	avoir	VER	""	2426.620	13032.016
64	veux	vouloir	VER	""	2414.044	5239.237
65	ici	ici	ADV	""	2271.794	2272.699
66	qu'	qu'	PRO:rel	""	2216.399	6013.373
67	toi	toi	PRO:per	""	2202.291	2817.525
68	comme	comme	CON	""	2187.566	2187.962
69	dit	dire	VER	""	2182.177	6099.386
70	lui	lui	PRO:per	""	2141.630	2610.851
71	votre	votre	ADJ:pos	""	2106.601	2759.155
72	as	avoir	AUX	""	2096.155	19741.582
73	là	là	ADV	""	1979.250	2140.142
74	cette	cette	ADJ:dem	f	1968.630	6521.715
75	rien	rien	PRO:ind	""	1948.259	1948.927
76	peux	pouvoir	VER	""	1930.589	6267.658
77	quand	quand	CON	""	1863.006	1863.234
78	dire	dire	VER	""	1803.861	6099.386
79	son	son	ADJ:pos	""	1778.316	3785.924
80	es	être	VER	""	1725.427	35040.212
81	vais	aller	VER	""	1713.085	9795.946
82	alors	alors	ADV	""	1706.484	1706.674
83	ton	ton	ADJ:pos	""	1626.924	3406.509
84	par	par	PRE	""	1601.222	1601.386
85	chose	chose	NOM	e	1564.652	2089.133
86	ou	ou	CON	""	1554.009	1555.006
87	des	des	ART:ind	""	1510.377	1510.652
88	si	si	CON	""	1509.994	2445.506
89	suis	être	AUX	""	1461.854	8402.797
