"1_Mot"	"2_Phono"	"3_Phono_IPA"	"4_Lemme"	"5_Cgram"	"6_CgramOrtho"	"7_Genre"	"8_Nombre"	"9_InfoVER"	"10_FreqMot"	"11_FreqOrtho"	"12_FreqLemme"	"13_CDOrtho"	"14_IsLem"	"15_NbLettres"	"16_NbPhons"	"17_OLD20"	"18_PLD20"	"19_CVOrtho"	"20_CVPhono"	"21_VoisOrtho"	"22_VoisPhono"	"23_NbHomog"	"24_NbHomoph"	"25_SyllPhono"	"26_SyllNb"	"27_SyllCV"	"28_PUOrtho"	"29_PUPhon"	"30_MorphoBase"	"31_MorphoStruct"	"32_MorphoDecomp"	"33_Preval"	"34_PrevalNb"	"35_RT_FLP"	"36_zRT_FLP"	"37_Err_FLP"
de	d°	də	de	PRE	PRE,NOM	""	""	""	26323.301	26323.693	34097.073	99.94029	1	2	2	1	1.6	CV	CVV	19	47	1	1	d°	1	CV	2	2	""	"0-0-0"	""			615.4090909	-0.467695133	0.08
je	Z°	ʒə	je	PRO:per	NOM,PRO:per	""	s	""	25930.797	25936.063	35592.509	99.75046	1	2	2	1.15	1.6	CV	CVV	13	43	1	1	Z°	1	CV	2	3	je	"0-1-0"	/je			672.5652174	-0.399054213	0
est	e	e	être	VER	AUX,ADJ,VER,NOM	""	s	ind:pre:3	19266.114	22655.332	35040.212	99.87906	0	3	1	1.3	1	VCC	V	3	75	3	10	e	1	V	3	1	est	"0-1-0"	/est	100	19	645.6	-0.509296297	0
pas	pa	pa	pas	ADV	NOM,ADV	""	""	""	18089.722	18219.313	18098.642	99.79639	1	3	2	1	1	CVC	CV	24	33	1	2	pa	1	CV	3	2	pas	"0-1-0"	/pas			614.75	-0.717242965	0
vous	vu	vu	vous	PRO:per	NOM,PRO:per	""	p	""	14039.193	14039.608	15872.566	99.39835	1	4	2	1.2	1	CVVC	CV	12	28	1	4	vu	1	CV	4	2	vous	"0-1-0"	/vous			641.5	-0.411751614	0
tu	ty	ty	tu	PRO:per	PRO:per,VER	""	s	""	13851.563	13855.949	14981.437	98.18279	1	2	2	1	1	CV	CV	25	26	1	12	ty	1	CV	2	2	tu	"0-1-0"	/tu	95	21	697.5	-0.158507029	0.25
le	l°	lə	le	ART:def	NOM,ART:def,PRO:per	m	s	""	13176.114	16539.044	43109.440	99.89896	1	2	2	1	1.6	CV	CVV	18	78	2	2	l°	1	CV	2	3	le	"0-1-0"	/le			597.7916667	-0.591780532	0.04
c'	s	s	c'	PRO:dem	PRO:dem	""	""	""	12973.842	12973.842	18912.297	99.58971	1	2	1	1	1	C'	C	19	227	0	7	s	1	C	2	1	""	""	""					
et	e	e	et	CON	NOM,CON	""	""	""	12851.275	12851.275	12855.440	99.79945	1	2	1	1	1	VC	V	12	75	1	10	e	1	V	2	1	et	"0-1-0"	/et			649.25	-0.521128295	0.166666667
à	a	a	à	PRE	PRE	""	""	""	12764.038	12782.171	12768.269	98.92070	1	1	1	1.8	1	VV	V	3	37	0	9	a	1	V	2	1	""	"0-0-0"	""					
il	il	il	il	PRO:per	ADJ:num,NOM,PRO:per	m	s	""	12534.930	12544.285	16479.203	99.74740	1	2	2	1	1	VC	VC	14	17	2	9	il	1	VC	2	2	il	"0-1-0"	/il			729.15	-0.00118181	0.2
un	"1"	œ̃	un	ART:ind	NOM,ADJ:num,PRO:ind,ART:ind	m	s	""	11973.908	12552.532	24523.364	99.84078	1	2	1	1	1	VC	V	11	37	3	5	"1"	1	V	2	1	un	"0-1-0"	/un			597.04	-0.877379033	0
